detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=mgmt-api SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,8c49d422-cb6e-433d-a50f-5c846739651c,fsjvwquudybjxjnpgkom,1775596403737000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,5a603a2c-82c1-4969-ad15-7e2379e48c79,fsjvwquudybjxjnpgkom,1775596403737000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,f518dfc7-da62-46f2-9610-2795f829ec57,fsjvwquudybjxjnpgkom,1775596403686000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,ac42ab6f-7922-42b8-bb5e-577b481b4e64,fsjvwquudybjxjnpgkom,1775596403686000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,81a46c8f-a623-41e6-90e0-88d86ad8d2d6,fsjvwquudybjxjnpgkom,1775596402957000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=mgmt-api SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,8f4c8811-f8fa-4f88-a638-9ca65c70d30b,fsjvwquudybjxjnpgkom,1775596402957000
null,LOG,connection received: host=2a05:d018:1e14:204:ceb:18e7:cc5d:9ef port=38382,null,438cd4db-8ffd-437d-86a8-ca0f8d0e3310,fsjvwquudybjxjnpgkom,1775596402844000
null,LOG,"checkpoint complete: wrote 211 buffers (0.7%); 0 WAL file(s) added, 0 removed, 2 recycled; write=21.291 s, sync=0.005 s, total=21.324 s; sync files=132, longest=0.002 s, average=0.001 s; distance=32793 kB, estimate=44714 kB; lsn=3/97006638, redo lsn=3/970065A8",null,5b0c5258-77b9-4343-85ef-9d02afd44e34,fsjvwquudybjxjnpgkom,1775596385203000
null,LOG,checkpoint starting: time,null,26bde7d3-6ac8-46aa-8482-4e18eb18e4f9,fsjvwquudybjxjnpgkom,1775596363882000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,f2ba371b-b364-47f5-8cc8-105642ee7f45,fsjvwquudybjxjnpgkom,1775596353380000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,661416f7-e4e7-4de3-94d4-5cfe2392a30d,fsjvwquudybjxjnpgkom,1775596353380000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,ea33fd16-e04a-4666-9e82-487e486ab065,fsjvwquudybjxjnpgkom,1775596352394000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,97bfeb0c-292b-4ac7-ba8d-207df0492722,fsjvwquudybjxjnpgkom,1775596352393000
null,LOG,connection received: host=::1 port=3161,null,9837367c-c2b5-4478-a4e0-de887626667c,fsjvwquudybjxjnpgkom,1775596352392000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,17277b8c-9d7e-4322-bded-78139640e952,fsjvwquudybjxjnpgkom,1775596350665000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,b170b646-3b24-4f68-9ff8-da9edfedff54,fsjvwquudybjxjnpgkom,1775596350665000
