"CÓDIGO CULTIVO","SEM","FECHA","PRODUCTO","VARIEDAD","FINCA","Sector","Semillero","BANDEJAS","MARCO","SUPERFICIE","Escandallo","Nº Plantas","LOTE","NºAlbarán","MUNICIPIO","POLIGONO","PARCELA","RECINTO","PRODUCTOR","TIPO","CICLO TEORICO","CICLO REAL","REND. TEORICO","REND.REAL","PREVISION RECOLECCION","RECO. REAL","DIFERENCIA"," 1ª OPORTUNIDAD COSECHA"," SEM 1ª OPORTUNIDAD COSECHA","OBSERVACIONES"
1890,32,"06/08/2025","APIO ECO","DEVIKA","BRAZO DE LA VIRGEN","1","SEMILLEROS EL MIRADOR, S.L.",33,"1x0.25 DOBLE","0,12","288.0",9504,"103192569-103282631","260060","19","28","54 - 56","6 - 2 - 3","AGRICOLA MARVIC","ECO",85,99,70000,"300266,666666667",8400,36032,27632,"30/10/2025",44,
1854,32,"06/08/2025","APIO ECO","BUFALO","BRAZO DE LA VIRGEN","2","SEMILLEROS EL MIRADOR, S.L.",319,"1x0.25 DOBLE","1,06","268.0",85492,"428/06300-31040525-2","260060","19","28","54 - 55 - 56","6 - 2 - 7 - 1 - 3","AGRICOLA MARVIC","ECO",85,135,70000,"85935,8490566038",74200,91092,16892,"30/10/2025",44,
1802,32,"06/08/2025","APIO ECO","DEVIKA","BRAZO DE LA VIRGEN","2","SEMILLEROS EL MIRADOR, S.L.",262,"1x0.25 DOBLE","0,94","288.0",75456,"103208443-103282623","260060","19 - ","28 - ","54 - 55 - 56 - ","6 - 2 - 7 - 1 - 3 - ","AGRICOLA MARVIC","ECO",85,119,70000,"57127,6595744681",65800,53700,-12100,"30/10/2025",44,
1805,33,"15/08/2025","APIO ECO","MONTEREY","BRAZO DE LA VIRGEN","5","SEMILLEROS EL MIRADOR, S.L.",101,"1x0.25 DOBLE","0,36","288.0",29088,"103215768-103282682","260169","19","28","56","3","AGRICOLA MARVIC","ECO",85,146,70000,"58194,4444444444",25200,20950,-4250,"08/11/2025",45,
1892,33,"15/08/2025","APIO ECO","MONTEREY","BRAZO DE LA VIRGEN","1","SEMILLEROS EL MIRADOR, S.L.",180,"1x0.25 DOBLE","0,65","288.0",51840,"103215768-103282682","260169","19","28","54 - 56","2 - 3 - 6 - 7","AGRICOLA MARVIC","ECO",85,145,70000,"68123,0769230769",45500,44280,-1220,"08/11/2025",45,
1891,33,"15/08/2025","APIO ECO","IMPERIAL","BRAZO DE LA VIRGEN","1","SEMILLEROS EL MIRADOR, S.L.",324,"1x0.25 DOBLE","0,99","240.0 - 282.0",79188,"103056283-103229116 - 103215768-103282682","260169","19","28","54 - 56","2 - 3 - 6","AGRICOLA MARVIC","ECO",85,130,70000,"44019,1919191919",69300,43579,-25721,"08/11/2025",45,
1856,35,"25/08/2025","BROCOLI ECO","NAXOS","LOS COLLADOS","4","SEMILLEROS EL MIRADOR, S.L.",230,"1X0.25","1,37","240.0",55200,"00178899 - 00129984","260180","19 - ","28 - ","12 - ","35 - 29 - 32 - ","AGRICOLA MARVIC","ECO",80,92,15000,"17446,7153284672",20550,23902,3352,"13/11/2025",46,
1804,35,"25/08/2025","BROCOLI ECO","NAXOS","BRAZO DE LA VIRGEN","4","SEMILLEROS EL MIRADOR, S.L.",122,"1X0.25","0,73","240.0",29280,"00129984","260180","19","28","54","6 - 5 - 4","AGRICOLA MARVIC","ECO",80,92,15000,"21804,1095890411",10950,15917,4967,"16/11/2025",46,
1803,35,"25/08/2025","BROCOLI ECO","NAXOS","BRAZO DE LA VIRGEN","3","SEMILLEROS EL MIRADOR, S.L.",166,"1X0.25","0,99","240.0",39840,"00129984","260180","19","28","54","6 - 5 - 4 - 2","AGRICOLA MARVIC","ECO",80,92,15000,"16077,7777777778",14850,15917,1067,"13/11/2025",46,
1889,35,"25/08/2025","BROCOLI ECO","NAXOS","BRAZO DE LA VIRGEN","5","SEMILLEROS EL MIRADOR, S.L.",152,"1X0.25","0,9","240.0",36480,"00129984","260180","19","28","56","3 - 2 - 7","AGRICOLA MARVIC","ECO",80,92,15000,"10093,3333333333",13500,9084,-4416,"13/11/2025",46,
1836,36,"02/09/2025","BROCOLI ECO","ARES","LOS COLLADOS","3","SEMILLEROS EL MIRADOR, S.L.",326,"1X0.25","2,28","280.0",91280,"00178606","260180","19","28","12","29","AGRICOLA MARVIC","ECO",75,83,15000,"16650,8771929825",34200,37964,3764,"16/11/2025",46,
1893,36,"02/09/2025","BROCOLI ECO","ARES","LOS COLLADOS","2","SEMILLEROS EL MIRADOR, S.L.",392,"1X0.25","2,75","280.0",109760,"00178606","260180","19","28","12","5 - 29 - 32 - 33","AGRICOLA MARVIC","ECO",75,101,15000,"8181,81818181818",41250,22500,-18750,"16/11/2025",46,
1835,36,"02/09/2025","BROCOLI ECO","NAXOS","LOS COLLADOS","2","SEMILLEROS EL MIRADOR, S.L.",20,"1X0.25","0,29","240.0",4800,"00178899","260180","19","28","12","5 - 29 - 32","AGRICOLA MARVIC","ECO",80,93,15000,"47275,8620689655",4350,13710,9360,"21/11/2025",47,
1824,36,"05/09/2025","ROMANESCO ECO","WHITE GOLD","LA BARDA","8A","SEMILLEROS EL MIRADOR, S.L.",20,"1X0.40","0,22","276.0",5520,"1907400","260337","143","1","35 - 79","1 - 2 - 3","HORTOCOX","ECO",120,106,22500,"41890,9090909091",4950,9216,4266,"03/01/2026",1,
1821,36,"05/09/2025","COL PICUDA ECO","FERNANDO","LA BARDA","9","SEMILLEROS EL MIRADOR, S.L.",362,"1X0.25","2,46","280.0 - 266.0",98532,"18060256 - 1913772","260337","143","1","36 - 37","1 - 2 - 3","HORTOCOX","ECO",80,119,36000,"12208,9430894309",88560,30034,-58526,"24/11/2025",48,
1880,36,"05/09/2025","ROMANESCO ECO","WHITE GOLD","LA BARDA","8B","SEMILLEROS EL MIRADOR, S.L.",156,"1X0.40","1,72","276.0",43056,"1907400","260337","143","1","35 - 36 - 79","1 - 2 - 3","HORTOCOX","ECO",120,106,22500,"12344,1860465116",38700,21232,-17468,"03/01/2026",1,
1857,36,"06/09/2025","APIO ECO","LIPIKA","LA CONCEPCIÓN","1A","SEMILLEROS EL MIRADOR, S.L.",343,"1x0.25 DOBLE","1,21","288.0 - 278.0",97414,"192993475-103283038 - 102948401-103282699","260353","99","65","96","3","HORTOCOX","ECO",105,,70000,"71553,7190082645",84700,86580,1880,"20/12/2025",51,
1833,37,"10/09/2025","BROCOLI ECO","ARES","LOS COLLADOS","1","SEMILLEROS EL MIRADOR, S.L.",386,"1X0.25","2,76","286.0",110396,"00173606","260434","19","28","12","4 - 5 - 32","AGRICOLA MARVIC","ECO",75,116,15000,"14931,1594202899",41400,41210,-190,"24/11/2025",48,
1895,37,"10/09/2025","BROCOLI ECO","ARES","LOS COLLADOS","2","SEMILLEROS EL MIRADOR, S.L.",188,"1X0.25","1,34","286.0",53768,"00173606","260434","19","28","12","5 - 29 - 32 - 33","AGRICOLA MARVIC","ECO",75,93,15000,"16791,7910447761",20100,22501,2401,"24/11/2025",48,
1896,37,"10/09/2025","BROCOLI ECO","MONRELLO","LOS COLLADOS","1","SEMILLEROS EL MIRADOR, S.L.",84,"1X0.25","0,55","264.0",22176,"17977994","260434","19","28","12","4 - 5 - 32","AGRICOLA MARVIC","ECO",75,119,15000,"12221,8181818182",8250,6722,-1528,"24/11/2025",48,
1797,37,"10/09/2025","BROCOLI ECO","ARES","LOS COLLADOS","10","SEMILLEROS EL MIRADOR, S.L.",6,"1X0.25","0,03","240.0",1440,"00173543","260600","19","28","12","4 - 5 - 19 - 20","AGRICOLA MARVIC","ECO",75,116,15000,63500,450,1905,1455,"01/12/2025",49,
1897,37,"10/09/2025","BROCOLI ECO","MONRELLO","LOS COLLADOS","10","SEMILLEROS EL MIRADOR, S.L.",203,"1X0.25","1,34","264.0",53592,"17977994 - 19181999","260434","19","28","12","4 - 5 - 19 - 20","AGRICOLA MARVIC","ECO",75,119,15000,"18093,2835820896",20100,24245,4145,"24/11/2025",48,
1894,37,"10/09/2025","BROCOLI ECO","NAXOS","LOS COLLADOS","2","SEMILLEROS EL MIRADOR, S.L.",28,"1X0.25","0,19","274.0",7672,"00173899","260434","19","28","12","5 - 29 - 30 - 32 - 33","AGRICOLA MARVIC","ECO",80,85,15000,"77736,8421052632",2850,14770,11920,"29/11/2025",48,
1898,37,"13/09/2025","ROMANESCO ECO","VERONICA","LA BARDA","8B","SEMILLEROS EL MIRADOR, S.L.",8,"1X0.40","0,09","286.0",2288,"1939349","260493","143","1","35 - 36 - 79 - 80","1 - 2 - 3","HORTOCOX","ECO",120,125,22500,"22444,4444444444",2025,2020,-5,"11/01/2026",2,
1876,37,"13/09/2025","LECHUGA VERDE ECO","RAWONDER","LA BARDA","4","SEMILLEROS EL MIRADOR, S.L.",144,"(1,80x0,25)/6","0,31","288.0",41472,"103259400-103279151","260493","143","1","123","1 - 2","HORTOCOX","ECO",70,44,140000,"121645,161290323",43400,37710,-5690,"22/11/2025",47,
1904,37,"13/09/2025","LECHUGA ROJA ECO","41-CO3180","LA BARDA","4","SEMILLEROS EL MIRADOR, S.L.",26,"(1,80x0,25)/6","0,05","288.0",7488,"103285197-103288275","260493","143","1","123","1 - 2","HORTOCOX","ECO",70,41,140000,139300,7000,6965,-35,"22/11/2025",47,
1770,38,"15/09/2025","APIO ECO","LIPIKA","LA CONCEPCIÓN","1B","SEMILLEROS EL MIRADOR, S.L.",414,"1x0.25 DOBLE","1,49","288.0",119232,"192993475-103283038","260517","99","65","96","3","HORTOCOX","ECO",105,,70000,"66028,8590604027",104300,98383,-5917,"29/12/2025",1,
1834,38,"17/09/2025","BROCOLI ECO","ARES","LOS COLLADOS","5","SEMILLEROS EL MIRADOR, S.L.",840,"1X0.25","5,95","284.0 - 240.0",238032,"00173808 - 00173543","260600","19","28","12","4 - 30 - 31 - 32 - 38","AGRICOLA MARVIC","ECO",75,108,15000,"17225,0420168067",89250,102489,13239,"01/12/2025",49,
1837,38,"17/09/2025","BROCOLI ECO","ARES","LOS COLLADOS","9","SEMILLEROS EL MIRADOR, S.L.",53,"1X0.25","0,32","240.0",12720,"00173543","260600","19","28","12","4 - 12 - 20","AGRICOLA MARVIC","ECO",75,113,15000,"102328,125",4800,32745,27945,"01/12/2025",49,
1901,38,"17/09/2025","BROCOLI ECO","ITHACA","LOS COLLADOS","9","SEMILLEROS EL MIRADOR, S.L.",156,"1X0.25",2,"285.0",44460,"00172216","260600","19","28","12","4 - 12 - 20","AGRICOLA MARVIC","ECO",75,113,15000,"19210,5",30000,38421,8421,"01/12/2025",49,
1909,38,"19/09/2025","ROMANESCO ECO","VERONICA","LA BARDA","8A","SEMILLEROS EL MIRADOR, S.L.",78,"1X0.40","0,88","286.0",22308,"1939349 - 1904986","260654","143","1","35 - 79","1 - 2 - 3","HORTOCOX","ECO",120,119,22500,"15954,5454545455",19800,14040,-5760,"17/01/2026",3,
1878,38,"19/09/2025","ROMANESCO ECO","VERONICA","LA BARDA","6","SEMILLEROS EL MIRADOR, S.L.",88,"1X0.40",1,"286.0",25168,"1904986","260654","143","1","34 - 78 - 79","2 - 3 - 1 - 5","HORTOCOX","ECO",120,126,22500,23128,22500,23128,628,"17/01/2026",3,
1879,38,"20/09/2025","COL PICUDA ECO","FERNANDO","LA BARDA","7","SEMILLEROS EL MIRADOR, S.L.",227,"1X0.25","1,61","284.0",64468,"1913772","260690","143","1","34 - 78","1 - 4","HORTOCOX","ECO",80,132,36000,"28347,8260869565",57960,45640,-12320,"09/12/2025",50,
1905,38,"20/09/2025","LECHUGA VERDE ECO","RAWONDER","LA BARDA","4","SEMILLEROS EL MIRADOR, S.L.",77,"(1,80x0,25)/6","0,16","288.0",22176,"103259400-103279151","260688","143","1","123 - 101","1 - 2 - 3","HORTOCOX","ECO",70,41,140000,"131062,5",22400,20970,-1430,"29/11/2025",48,
1908,38,"20/09/2025","COL PICUDA ECO","FERNANDO","LA BARDA","9","SEMILLEROS EL MIRADOR, S.L.",59,"1X0.25","0,42","284.0",16756,"1913772","260690","143","1","36 - 37","1 - 2 - 3","HORTOCOX","ECO",80,104,36000,"68011,9047619048",15120,28565,13445,"09/12/2025",50,
1903,39,"24/09/2025","APIO ECO","LIPIKA","LA CONCEPCIÓN","1C","SEMILLEROS EL MIRADOR, S.L.",180,"1x0.25 DOBLE","0,63","280.0",50400,"102993475-103283038","260781","99","65","96","3","HORTOCOX","ECO",105,,70000,"58207,9365079365",44100,36671,-7429,"07/01/2026",2,
1771,39,"24/09/2025","APIO ECO","MONTEREY","LA CONCEPCIÓN","1C","SEMILLEROS EL MIRADOR, S.L.",112,"1x0.25 DOBLE","0,4","284.0",31808,"11900-12402-002","260781","99","65","96","3","HORTOCOX","ECO",105,,70000,0,28000,0,-28000,"07/01/2026",2,
1839,39,"26/09/2025","BROCOLI ECO","LEONIDAS","LOS COLLADOS","7","SEMILLEROS EL MIRADOR, S.L.",148,"1X0.25","1,05","283.0",41884,"0016721","260878","19","28","12","4 - 1 - 27 - 32","AGRICOLA MARVIC",,75,120,15000,"12840,9523809524",15750,13483,-2267,"10/12/2025",50,
